country,country_code,source,year,population_thousands_total,pct_improved_water_total,pct_at_least_basic_water_total,pct_limited_water_total,pct_unimproved_water_total,pct_surface_water_total,pct_piped_water_total,population_thousands_rural,pct_improved_water_rural,pct_at_least_basic_water_rural,pct_limited_water_rural,pct_unimproved_water_rural,pct_surface_water_rural,pct_piped_water_rural,population_thousands_urban,pct_improved_water_urban,pct_at_least_basic_water_urban,pct_limited_water_urban,pct_unimproved_water_urban,pct_surface_water_urban,pct_piped_water_urban,is_estimated
Kenya,KEN,JMP,2000,30642.89,52.1,45.4,6.7,17.4,30.5,31.3,24547.40625,42.7,35.4,7.3,20.0,37.3,18.5,6095.4833984375,89.9,85.4,4.5,6.7,3.4,83.2,False
Kenya,KEN,JMP,2001,31619.17,53.1,46.2,6.8,16.9,30.0,31.5,25219.765625,43.7,36.3,7.4,19.5,36.8,18.6,6399.40380859375,90.0,85.5,4.4,6.5,3.5,82.2,False
Kenya,KEN,JMP,2002,32629.808,54.0,47.1,6.9,16.4,29.5,31.7,25911.00390625,44.7,37.1,7.6,19.0,36.3,18.8,6718.8037109375,90.1,85.7,4.4,6.4,3.5,81.3,False
Kenya,KEN,JMP,2003,33652.223,55.0,48.0,7.1,16.0,29.0,31.8,26602.755859375,45.7,37.9,7.8,18.6,35.7,19.0,7049.4677734375,90.2,85.8,4.4,6.2,3.6,80.3,False
Kenya,KEN,JMP,2004,34713.455,56.0,48.8,7.2,15.5,28.5,32.0,27316.017578125,46.7,38.8,7.9,18.1,35.2,19.1,7397.4375,90.3,86.0,4.3,6.0,3.7,79.3,False
Kenya,KEN,JMP,2005,35796.484,56.9,49.7,7.3,15.1,28.0,32.1,28037.595703125,47.7,39.6,8.1,17.6,34.7,19.3,7758.8876953125,90.4,86.1,4.3,5.9,3.8,78.4,False
Kenya,KEN,JMP,2006,36904.008,57.9,50.5,7.4,14.6,27.5,32.3,28768.51953125,48.7,40.4,8.3,17.1,34.2,19.5,8135.48876953125,90.5,86.3,4.2,5.7,3.8,77.4,False
Kenya,KEN,JMP,2007,38036.349,58.9,51.4,7.5,14.1,27.0,32.4,29508.599609375,49.7,41.3,8.4,16.6,33.7,19.7,8527.7490234375,90.6,86.4,4.2,5.5,3.9,76.4,False
Kenya,KEN,JMP,2008,39206.351,59.8,52.3,7.6,13.7,26.5,32.5,30267.302734375,50.7,42.1,8.6,16.1,33.2,19.8,8939.0478515625,90.7,86.6,4.1,5.4,4.0,75.5,False
Kenya,KEN,JMP,2009,40408.891,60.8,53.1,7.7,13.2,26.0,32.6,31040.8984375,51.7,43.0,8.7,15.7,32.6,20.0,9367.9931640625,90.8,86.7,4.1,5.2,4.0,74.5,False
Kenya,KEN,JMP,2010,41598.567,61.7,53.9,7.7,12.8,25.5,32.7,31793.369140625,52.7,43.8,8.9,15.2,32.1,20.2,9805.1982421875,90.9,86.8,4.0,5.0,4.1,73.6,False
Kenya,KEN,JMP,2011,42758.461,62.6,54.8,7.8,12.3,25.0,32.9,32509.685546875,53.7,44.6,9.1,14.7,31.6,20.3,10248.775390625,91.0,87.0,4.0,4.8,4.2,72.6,False
Kenya,KEN,JMP,2012,43888.303,63.6,55.6,7.9,11.9,24.5,33.0,33190.08984375,54.7,45.5,9.2,14.2,31.1,20.5,10698.212890625,91.1,87.1,3.9,4.7,4.3,71.6,False
Kenya,KEN,JMP,2013,44986.791,64.5,56.5,8.0,11.4,24.1,33.1,33832.765625,55.7,46.3,9.4,13.7,30.6,20.7,11154.025390625,91.2,87.3,3.9,4.5,4.3,70.7,False
Kenya,KEN,JMP,2014,46051.44,65.4,57.3,8.1,11.0,23.6,33.2,34436.80859375,56.7,47.2,9.5,13.3,30.1,20.8,11614.6328125,91.3,87.4,3.8,4.3,4.4,69.7,False
Kenya,KEN,JMP,2015,47088.526,66.3,58.2,8.2,10.6,23.1,33.3,35006.55078125,57.7,48.0,9.7,12.8,29.5,21.0,12081.9736328125,91.3,87.6,3.8,4.2,4.5,68.8,False
Kenya,KEN,JMP,2016,48139.687,67.2,59.0,8.3,10.1,22.6,33.3,35572.82421875,58.7,48.8,9.9,12.3,29.0,21.2,12566.8642578125,91.4,87.7,3.7,4.0,4.5,67.8,False
Kenya,KEN,JMP,2017,49197.766,68.2,59.8,8.3,9.7,22.2,33.4,36129.85546875,59.7,49.7,10.0,11.8,28.5,21.3,13067.91015625,91.5,87.9,3.7,3.8,4.6,66.8,False
Kenya,KEN,JMP,2018,50207.107,69.1,60.7,8.4,9.3,21.7,33.5,36636.125,60.7,50.5,10.2,11.3,28.0,21.5,13570.9814453125,91.6,88.0,3.6,3.7,4.7,65.9,False
Kenya,KEN,JMP,2019,51202.827,70.0,61.5,8.5,8.8,21.2,33.6,37118.46484375,61.7,51.4,10.3,10.8,27.5,21.7,14084.3623046875,91.7,88.2,3.6,3.5,4.8,64.9,False
Kenya,KEN,JMP,2020,52217.334,70.9,62.3,8.5,8.4,20.8,33.6,37599.08984375,62.7,52.2,10.5,10.4,26.9,21.8,14618.2421875,91.8,88.3,3.5,3.3,4.8,63.9,False
Kenya,KEN,JMP,2021,53219.166,71.7,63.1,8.6,8.0,20.3,33.7,38055.4296875,63.7,53.1,10.6,9.9,26.4,22.0,15163.736328125,91.9,88.4,3.5,3.2,4.9,63.0,False
Kenya,KEN,JMP,2022,54252.461,72.6,64.0,8.7,7.5,19.8,33.7,38518.1640625,64.7,53.9,10.8,9.4,25.9,22.2,15734.2978515625,92.0,88.6,3.4,3.0,5.0,62.0,False
Kenya,KEN,JMP,2023,55339.003,73.5,64.8,8.7,7.1,19.4,33.8,39002.9296875,65.7,54.7,11.0,8.9,25.4,22.4,16336.0732421875,92.1,88.7,3.4,2.8,5.0,61.1,False
Kenya,KEN,JMP,2024,56432.944,74.4,65.6,8.8,6.7,18.9,33.8,39475.41015625,66.7,55.6,11.1,8.4,24.9,22.5,16957.53515625,92.2,88.9,3.3,2.7,5.1,60.1,False
Kenya,KEN,JMP,2025,57532.493,75.2,66.4,8.8,6.3,18.5,33.8,39934.453125,67.7,56.4,11.3,7.9,24.4,22.7,17598.0390625,92.3,89.0,3.3,2.5,5.2,59.1,False
Kenya,KEN,JMP,2026,58636.412,76.1,67.2,8.9,5.9,18.1,33.9,40378.79296875,68.7,57.3,11.4,7.5,23.8,22.9,18257.619140625,92.4,89.1,3.3,2.3,5.3,58.2,False
Kenya,KEN,JMP,2027,59745.753,76.2,67.3,8.9,5.8,18.0,34.1,40809.3359375,68.7,57.3,11.4,7.5,23.8,22.9,18936.416015625,92.4,89.1,3.3,2.3,5.3,58.2,True
Kenya,KEN,JMP,2028,60860.444,76.4,67.5,8.8,5.8,17.9,34.3,41225.0390625,68.7,57.3,11.4,7.5,23.8,22.9,19635.404296875,92.4,89.1,3.3,2.3,5.3,58.2,True
Kenya,KEN,JMP,2029,61979.187,76.5,67.7,8.8,5.8,17.7,34.5,41624.6015625,68.7,57.3,11.4,7.5,23.8,22.9,20354.583984375,92.4,89.1,3.3,2.3,5.3,58.2,True
Kenya,KEN,JMP,2030,63102.245,76.6,67.9,8.7,5.7,17.6,34.7,42009.05859375,68.7,57.3,11.4,7.5,23.8,22.9,21093.1875,92.4,89.1,3.3,2.3,5.3,58.2,True
